Date,Close,High,Low,Open,Volume
2024-06-11,2384.56298828125,2413.521249026709,2365.5903346893974,2395.5471561502172,6334505
2024-06-12,2377.57275390625,2406.531010883689,2367.587148051961,2381.5669962479656,10329499
2024-06-13,2374.57763671875,2393.550292352752,2364.092748078907,2379.570440832961,2978887
2024-06-14,2388.556884765625,2395.3651858041667,2370.5827944956495,2381.5669607717455,2678196
2024-06-17,2405.53271484375,2409.526957624728,2386.870649115977,2406.5312755389946,2870033
2024-06-18,2421.50927734375,2433.35523792842,2402.536627335696,2417.5150352367914,3688030
2024-06-19,2436.488037109375,2437.4865977803215,2419.512505703285,2425.5038697289638,3212276
2024-06-20,2456.459228515625,2458.4563498396215,2417.5153626976944,2429.498090641673,5190072
2024-06-21,2484.4189453125,2493.4059913365404,2441.4808365309736,2461.45204991773,9550115
2024-06-24,2531.35107421875,2543.3338011973005,2441.480621879623,2482.4216057230033,4057922
2024-06-25,2511.380126953125,2558.312479226205,2510.381566266464,2544.332629612947,3298887
2024-06-26,2507.3857421875,2532.3497579400637,2493.4058933660644,2516.372787858423,4066299
2024-06-27,2430.068115234375,2523.9548406071785,2430.068115234375,2480.0078627731004,3110623
2024-06-28,2427.07177734375,2452.0416515962575,2424.075392433449,2445.0500868055556,4442693
2024-07-01,2448.046142578125,2471.0184238018282,2412.08952848885,2452.041321921378,2434684
2024-07-02,2430.068115234375,2463.028348609934,2424.075345529728,2437.0596798897964,2786758
2024-07-03,2452.04150390625,2454.0390937261327,2435.0619904372456,2443.052349716777,2587246
2024-07-04,2467.023193359375,2485.0015000316293,2437.0593489056173,2462.0292192837487,2255788
2024-07-05,2457.035400390625,2486.0004518586447,2454.0390157560023,2476.012503076569,2493310
2024-07-08,2455.037353515625,2474.0144526681056,2449.04458536221,2460.031326976804,2522621
2024-07-09,2474.0146484375,2481.625581640845,2440.055626214297,2456.0363425546275,4470024
2024-07-10,2485.001708984375,2500.9824273701265,2459.0330416075285,2486.0005038834847,2404292
2024-07-11,2479.0087890625,2494.9895064778907,2463.0280716471093,2486.9991477701956,2502193
2024-07-12,2503.97900390625,2509.9717737600345,2491.993464198681,2499.983824003727,2391689
2024-07-15,2473.016357421875,2519.9597212340027,2464.02720264934,2487.9982820427667,2322397
2024-07-16,2461.03076171875,2487.9982254226484,2452.041607150784,2467.0235314307274,2458813
2024-07-17,2493.99072265625,2499.9834917134935,2447.0473650411745,2469.020851584401,2940660
2024-07-18,2552.919921875,2557.9138966830496,2479.0090947158646,2516.9633032570423,3578844
2024-07-19,2561.90869140625,2561.90869140625,2479.0087220547025,2542.931589988426,5296351
2024-07-22,2585.880126953125,2595.8680764585447,2560.910253189576,2568.9006127939115,3727112
2024-07-23,2581.88427734375,2614.8445021609045,2563.874029024842,2582.883072035179,3963648
2024-07-24,2572.8955078125,2588.8762252523293,2542.93166261282,2550.922021332735,2761994
2024-07-25,2709.73046875,2714.7244430750093,2547.9257006197013,2550.922085214707,9978017
2024-07-26,2725.71142578125,2736.6981702603975,2694.7487822491066,2707.733116633554,4832574
2024-07-29,2758.67138671875,2788.635232338432,2735.6991050769934,2737.6966947849724,6384914
2024-07-30,2756.673828125,2763.665392181839,2746.685879472373,2755.675033259737,5499515
2024-07-31,2741.692138671875,2790.633091238331,2729.706599267845,2781.6439366853083,4926594
2024-08-01,2793.629150390625,2812.8020608897164,2753.677357035021,2765.662895041702,5661586
2024-08-02,2784.64013671875,2835.5786758050685,2777.648572530432,2783.6413418347047,6736469
2024-08-05,2689.754638671875,2786.6377429983404,2654.7968175231504,2774.652204318778,10326981
2024-08-06,2710.72900390625,2746.6856156013955,2687.7567242121295,2731.703694061752,3958875
2024-08-07,2780.64501953125,2795.6269431278624,2728.7076843963273,2729.706479302768,4056273
2024-08-08,2799.6220703125,2813.6051987407463,2751.6799157013693,2776.6497878946666,4321725
2024-08-09,2797.624755859375,2801.6199358034796,2776.650061152825,2792.630780929244,2095730
2024-08-12,2797.624755859375,2805.6151157475847,2789.6343959711653,2799.6223458314275,6054554
2024-08-13,2796.625732421875,2805.6148865618025,2787.6365782819475,2799.6221171351845,2713492
2024-08-14,2806.613525390625,2823.5930378218136,2786.6376284127555,2812.6062944839855,3003567
2024-08-15,2795.626708984375,2827.5881433135996,2788.635145224857,2821.59537437687,2197807
2024-08-16,2770.6572265625,2787.6367409286004,2753.6777121963996,2785.6391510031767,3633243
2024-08-19,2777.648681640625,2784.6402461035823,2553.1495272273514,2765.6631425612695,2365284
2024-08-20,2767.660400390625,2770.656784801008,2749.6820939283257,2768.659195194086,2297144
2024-08-21,2767.660400390625,2775.6507588183135,2759.6700419629365,2770.656784801008,2569933
2024-08-22,2762.666748046875,2783.6414413617645,2758.6715683678485,2759.670363287605,2036645
2024-08-23,2755.675048828125,2773.653356504423,2748.683484731787,2767.6605872789905,1847309
2024-08-27,2785.638916015625,2793.1398753066906,2765.6630184464916,2773.653377474145,9037406
2024-08-28,2804.615966796875,2804.615966796875,2779.646095297615,2797.624402777082,1888968
2024-08-29,2812.6064453125,2821.5875525030056,2790.632957458496,2799.622111580589,2086261
2024-08-30,2832.58251953125,2842.570469176988,2814.604210168922,2826.5897497438073,2850881
2024-09-02,2847.564208984375,2855.554568041504,2835.5786703986814,2840.572644809387,1566712
2024-09-03,2863.544921875,2869.537691156915,2829.585895944149,2853.5569730718084,3824868
2024-09-04,2897.50390625,2897.50390625,2855.5545218782318,2859.5497013422096,2798691
2024-09-05,2906.4931640625,2919.477497785116,2889.5136507329253,2890.5124456346653,2616816
2024-09-06,2925.47021484375,2925.47021484375,2882.5220348375087,2885.5184194891067,2907771
2024-09-09,2969.416748046875,2969.416748046875,2924.411974136612,2944.4468796643755,3118563
2024-09-10,2955.43408203125,2975.409979848291,2955.43408203125,2969.417210503179,3235722
2024-09-11,2980.40380859375,2986.8959750668932,2945.445989122979,2971.4146550155515,3167178
2024-09-12,2946.44482421875,2990.3917978681147,2935.9864959558795,2985.3978235897775,3231743
2024-09-13,2961.4267578125,2974.9434076771568,2940.452065767285,2943.448450345173,2411473
2024-09-16,2966.4208984375,2976.72853024038,2943.4486153856274,2946.4450001315236,1930907
2024-09-17,2896.5048828125,2978.406055360991,2884.519345366379,2976.408465786638,4619071
2024-09-18,2864.54345703125,2895.9064912766926,2837.575997707734,2875.5301997186084,3082507
2024-09-19,2821.595458984375,2866.5412273575776,2813.6051001624724,2866.5412273575776,4777241
2024-09-20,2806.613525390625,2823.5930378218136,2791.631602657223,2821.595448124027,6530894
2024-09-23,2835.578857421875,2838.575242265928,2812.606573617471,2821.5957281496294,2475891
2024-09-24,2842.570068359375,2851.55922177302,2820.596582237131,2827.5881460032992,3433747
2024-09-25,2838.574951171875,2842.570130554242,2821.5954387968145,2826.5894130247734,3496357
2024-09-26,2759.2431640625,2808.1942556769322,2725.277100493302,2796.206233240745,4453599
2024-09-27,2771.2314453125,2787.2154767202146,2749.2534021268925,2752.250408015839,4610340
2024-09-30,2721.28125,2756.246317455947,2714.2882365088108,2750.2523058920706,4514053
2024-10-01,2752.25,2757.24500907441,2720.281941923775,2729.272958257713,3110340
2024-10-02,2704.298095703125,2738.264159705307,2700.3020881734565,2732.2701484108043,2775055
2024-10-03,2681.321044921875,2696.306073116297,2660.3420054496846,2684.3180505607593,3661315
2024-10-04,2678.323974609375,2681.3209801758903,2659.3429393547767,2667.334954198818,4404690
2024-10-07,2686.31591796875,2697.3049380868815,2668.3338850481705,2683.3189124819864,2521839
2024-10-08,2682.31982421875,2695.306847576234,2675.359737726252,2687.3148332023975,2611279
2024-10-09,2702.2998046875,2703.2988064637243,2673.328753176987,2678.32376205811,2954291
2024-10-10,2697.304931640625,2715.286964518229,2696.3059298140915,2703.2989425998267,2315070
2024-10-11,2674.327880859375,2686.3159027384604,2669.332871743089,2681.320893622175,1689906
2024-10-14,2696.3056640625,2699.302669246712,2675.326627773018,2681.3206381414416,2208912
2024-10-15,2702.2998046875,2720.2818366595425,2685.316774491682,2696.3057940301524,3340371
2024-10-16,2747.255126953125,2759.243149325284,2710.292057972301,2713.2890635653407,3696411
2024-10-17,2725.277099609375,2754.248153820765,2720.2820902625836,2750.252146343332,4549104
2024-10-18,2637.364990234375,2690.3120904171105,2621.3809599905303,2647.355009136778,5086135
2024-10-21,2628.373779296875,2649.3528174440567,2622.3797683976804,2637.364795645667,7712027
2024-10-22,2666.3359375,2672.3299485996627,2619.173099187663,2628.3738672021354,4659639
2024-10-23,2662.340087890625,2686.316133710278,2657.3450783448643,2677.325116527908,7320374
2024-10-24,2652.349609375,2684.3176649305556,2652.349609375,2666.3356336805555,1225782
2024-10-25,2655.346923828125,2667.3349460575973,2641.360897893741,2651.350916418301,2514772
2024-10-28,2676.325927734375,2680.3219350919476,2653.3488854283314,2657.3448927859044,2960525
2024-10-29,2654.34814453125,2695.3072239161884,2648.354132913942,2676.326187128046,2985689
2024-10-30,2645.356689453125,2664.3377231010136,2626.375655805236,2639.362678827476,3843089
2024-10-31,2692.309814453125,2745.717386520329,2622.3796894023944,2638.3637179854186,7472311
2024-11-01,2702.2998046875,2727.2748490931144,2699.302799358826,2702.2998046875,2711692
2024-11-04,2696.3056640625,2720.2817055361943,2696.3056640625,2703.298676158994,2090186
2024-11-05,2718.283935546875,2724.2779464301093,2697.0061237197156,2701.3009047110436,2872021
2024-11-06,2736.26611328125,2831.2332404540725,2726.2760946128265,2750.252139417043,6810556
2024-11-07,2728.27392578125,2769.2329997310967,2725.2769203702856,2753.24897087262,2161978
2024-11-08,2730.27197265625,2736.265983573168,2699.3029162521725,2711.2909380860087,2226643
2024-11-11,2737.26513671875,2745.257151716469,2711.2910879761635,2726.276116096886,2095542
2024-11-12,2753.24951171875,2763.2395317177293,2714.28843372273,2720.2824457221177,3226040
2024-11-13,2775.22705078125,2782.2200635082004,2745.256996237176,2753.2490107822623,3713065
2024-11-14,2800.202392578125,2800.202392578125,2745.2572867658537,2773.229340633919,3777976
2024-11-15,2864.138427734375,2869.133437200253,2799.2033046779625,2803.199312250665,4239825
2024-11-18,2879.12353515625,2879.12353515625,2860.1424986649354,2861.141500585531,4817528
2024-11-19,2903.099609375,2910.092622886915,2874.1285533970663,2879.1235630484343,3488701
2024-11-20,2915.08740234375,2922.0804153034505,2890.1123560591054,2916.086404195136,3114215
2024-11-21,2920.082275390625,2929.073291633703,2910.092257342761,2913.08926275712,9284074
2024-11-22,2966.036376953125,2966.036376953125,2925.0773027008254,2932.0703153780473,2195131
2024-11-25,2968.03466796875,2984.018698492984,2958.0446488911034,2969.0336698765145,7827714
2024-11-26,2990.0126953125,2995.0077048268877,2959.043636323296,2971.0316591578267,4022656
2024-11-27,3006.99560546875,3006.99560546875,2975.027545875727,2978.0245514625726,4334784
2024-11-28,2977.025390625,2992.1104154986824,2951.0513435927014,2989.013412332215,1805273
2024-11-29,2985.017578125,2989.0135855923695,2963.039537054468,2969.033548255522,3407994
2024-12-02,2997.005615234375,3004.440081800421,2854.14834757487,2992.010605875651,3990047
2024-12-03,2943.059326171875,2986.0164039130123,2937.332138561061,2967.035369562277,6009035
2024-12-04,2928.074462890625,2942.0604889842684,2919.08344611614,2931.07146848212,5400245
2024-12-05,2968.03466796875,2980.2156133494846,2930.0725954736936,2935.0676050125167,5394923
2024-12-06,2965.037109375,2981.0211369188005,2949.0530818311995,2970.0321179824377,5415598
2024-12-09,2980.022705078125,2983.0197108157163,2953.049653439805,2969.033684040291,3126650
2024-12-10,2966.036376953125,2983.019407740664,2948.0543443545544,2976.026395063442,3085201
2024-12-11,2996.006591796875,2998.0045955259825,2966.0365358602608,2966.0365358602608,4421920
2024-12-12,2967.03564453125,2976.02666163589,2928.0745704111428,2947.0556065209385,3990793
2024-12-13,2989.013427734375,2989.013427734375,2964.0383823823163,2964.0383823823163,2124795
2024-12-16,2976.026611328125,2997.005650884315,2974.0286075608687,2981.0216207462654,2490686
2024-12-17,2941.061279296875,2965.037322334621,2941.061279296875,2953.049300815748,2842251
2024-12-18,2947.055419921875,2952.0504291081834,2930.072388688427,2945.0574162473517,10329010
2024-12-19,2891.6884765625,2907.6756968890377,2869.7060486135106,2871.7044511543277,5044124
2024-12-20,2876.700439453125,2888.69085462278,2852.7196091138144,2887.6916533586423,5691136
2024-12-23,2872.70361328125,2899.6820472146737,2864.7100032269022,2882.6956258491846,1832119
2024-12-24,2877.69970703125,2890.689323764377,2873.7029018825956,2886.6925186157227,587369
2024-12-27,2890.689208984375,2900.6812214592605,2869.7059827871158,2897.683617716795,2498568
2024-12-30,2872.70361328125,2892.6876384171196,2866.708405740489,2886.6924308763587,1461264
2024-12-31,2877.69970703125,2878.6989083184135,2865.7092915852863,2872.7037005954317,850191
2025-01-02,2949.64208984375,2956.6364985933797,2848.722763599096,2897.6836248465024,2405603
2025-01-03,2970.62548828125,2978.6190987441664,2943.6470529689077,2945.6454555846367,3954594
2025-01-06,2965.629638671875,2970.6256454755676,2925.6615842423353,2957.636027785967,3377027
2025-01-07,2959.634033203125,2965.6292405627532,2938.6508074444264,2955.6372282967063,6050632
2025-01-08,2966.62841796875,2966.62841796875,2937.6515826298837,2938.6507838484654,4753517
2025-01-09,2988.611328125,2993.6073350259107,2956.636883959169,2963.6312936204445,1777848
2025-01-10,2963.630859375,2993.6068963882335,2953.6388470372553,2987.6116889855866,2470564
2025-01-13,2930.6572265625,2960.633263656559,2874.8627174801277,2942.6476414001236,4253910
2025-01-14,2913.670654296875,2930.657074435094,2843.726571374796,2862.7113938822176,48950132
2025-01-15,2902.6796875,2928.6589205034425,2835.733202452668,2916.6685052710845,5255866
2025-01-16,2908.675048828125,2915.669458083294,2884.694217096117,2903.67904221729,6239687
2025-01-17,2959.634033203125,2965.6292405627532,2917.667581685728,2927.6595939517747,3984595
2025-01-20,2956.636474609375,2972.623694478841,2949.6420659164837,2962.6316820604247,4789127
2025-01-21,2950.641357421875,2966.6285777804087,2942.250115876879,2952.6397599666916,3034944
2025-01-22,2956.636474609375,2981.616505655416,2939.6500534980673,2970.625291995158,5662087
2025-01-23,2994.606201171875,3002.59981131848,2963.6309618537807,2966.628565658758,5962619
2025-01-24,3005.59765625,3044.5665088410074,2957.548171091587,2990.6096360226893,5236544
2025-01-27,3147.484375,3156.4771875,3086.533090277778,3095.525902777778,6817272
2025-01-28,3170.4658203125,3181.4570349432715,3135.4888948473013,3166.4690149922194,9697223
