Date,Close,High,Low,Open,Volume
2024-06-11,467.87841796875,474.4696675190104,466.1806612516671,471.9729843921761,7991651
2024-06-12,476.0675964355469,476.4670596787018,464.9823161947199,469.4763462536693,16237589
2024-06-13,470.7745666503906,475.1687228801352,469.5761770297816,474.76925967326554,7141904
2024-06-14,475.36846923828125,475.36846923828125,470.1543878857125,471.6733660050472,5214314
2024-06-17,469.8757629394531,477.2659388753891,469.4762997358788,476.56688588840626,19656519
2024-06-18,473.5709228515625,475.65415403235306,472.5722494845007,473.6707658065947,6019926
2024-06-19,477.5655517578125,479.76261458207256,473.17136515511567,474.46965864303553,4006201
2024-06-20,482.9584045410156,482.9584045410156,474.66939802668384,478.06491156202617,8631968
2024-06-21,479.1634216308594,485.9544181371788,475.32053494286794,481.46038843272356,13766914
2024-06-24,483.657470703125,485.95443759697,476.96637782813735,479.1634408187087,4123990
2024-06-25,479.4630432128906,486.65347247349337,478.7639597327771,483.0582730817368,8194611
2024-06-26,476.96636962890625,482.9584093717893,474.669402774547,481.1607791626703,7601070
2024-06-27,475.86785888671875,480.9610991486058,474.0702590188022,477.76533218665134,4067050
2024-06-28,475.9676818847656,483.75732112313034,475.7679350418992,478.26461819228393,6538092
2024-07-01,475.36846923828125,482.8585186485483,475.2685958173932,481.859845393846,3528460
2024-07-02,468.27789306640625,478.26462582737497,467.0795034213438,473.4710062929459,4674907
2024-07-03,474.0702209472656,474.4696841661568,467.478971165746,470.3751175990696,4783973
2024-07-04,480.3618469238281,481.2606467789953,471.17404057145535,476.067564017424,3861967
2024-07-05,470.7745666503906,483.2579823468747,470.2752300225313,480.16208915872886,4308694
2024-07-08,474.8691101074219,477.7652563133955,469.67599723823014,470.5748275065389,5169582
2024-07-09,474.769287109375,476.56691735980417,467.87844734212365,472.8718139092755,3386669
2024-07-10,482.4590759277344,482.4590759277344,471.8731328829838,477.1660891668139,5708928
2024-07-11,490.7480773925781,490.7480773925781,479.2633338840068,481.85989068571087,5833289
2024-07-12,488.9504699707031,493.14487968337835,487.65217635144603,492.3459532077521,8174642
2024-07-15,485.355224609375,491.9464744957846,483.4577514316289,486.8532345618731,2385976
2024-07-16,482.6587829589844,488.35123283315147,479.5669126783069,482.55894001287845,2336466
2024-07-17,481.36053466796875,482.8585446306284,475.36849481733014,481.4604080942309,3156893
2024-07-18,486.3538513183594,487.55227135638546,478.464339086436,484.3565049063743,3253446
2024-07-19,480.8611755371094,485.4550786366201,478.3644923827111,481.6601019556811,4098037
2024-07-22,489.54962158203125,492.146147556169,478.7639325870374,482.7586254421267,3595098
2024-07-23,487.252685546875,489.8292796676159,485.4550858398709,489.2500321000305,2554594
2024-07-24,483.35784912109375,486.9530788876601,482.359175879108,484.2566489434632,4289570
